sku,name,brand,categories,wholesale,price,description,images,length,width,height
388-051,Bernhardt Calista Dresser,Bernhardt,Dressers,1596,3192,"Six drawers with curved fronts
Polished stainless steel frame around perimeter section of drawers
Four metal feet in plated nickel finish
Adjustable glides
Center wood support leg
Anti-tip kit","388-051-1,
388-051-2,
388-051-3,
388-051-4,
388-051-5,
388-051-6,
388-051-7","68 5/8""","20 1/2""","36 1/4"""
386-052,Bernhardt Bryne Dresser,Bernhardt,Dressers,2552,5104,"Wire-brushed quartered pine veneers
Bone finish
Eight drawers
Stainless steel frame around perimeter of case in Tarnished Nickel finish
Adjustable glides
Anti-tip kit","386-052-1,
386-052-2,
386-052-3,
386-052-4,
386-052-5,
386-052-6","68""","20""","36"""