sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,Shipping
255-54,Corbett Lighting Libra Linear Pendant ,Corbett Lighting,Lighting > Pendants,2196,50%,1098,"Width/Diameter 18.50""
Height 11.50""
Min - Max Height 13.25"" - 61.25""
Backplate/Canopy/Base 8.00""
Shade Material Glass
Number of Lamps 4
Wattage 12w ea.
Socket Type Led
Plug In No
Organic and sprawling, Libra’s scales hold an aesthetic balance. Deliciously textured glass slides off the tops of these Antique-Silver Leaf scales, creating contrast and intrigue. All of the lighting Libra produces is indirect, projecting up through eclipsing discs of glowing diffusion, resulting in an atmosphere mysterious, relaxed, and intimate. ","255-54-1, 255-54-2, 255-54-3, 255-54-4, 255-54-5",18.5,18.5,11.5,Free Shipping
257-78,Corbett Lighting Symphony Chandelier,Corbett Lighting,Lighting > Chandeliers,6586,50%,3293,"Width/Diameter 33.50""
Height 64.75""
Min - Max Height 66.50"" - 114.50""
Backplate/Canopy/Base 8.00""
Shade Material Glass
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Featuring thick textured panels of handmade Venetian glass with flecks of gold profusely sprinkled throughout, Symphony staggers its glass-ringed lights at different heights for an elegant effect. The Gold-Leaf glaze of its iron body gives off a gilded glow. Bevel-cut rods and an asymmetrical frame exude mid-century vibes while the handcrafted flavor of the whole make it an intriguing delight. Symphony also makes for a striking sconce. ","257-78-1, 257-78-2, 257-78-3, 257-78-4, 257-78-5",33.5,33.5,64.75,Free Shipping
257-75,Corbett Lighting Symphony Chandelier ,Corbett Lighting,Lighting > Chandeliers,4276,50%,2138,"Width/Diameter 27.00""
Height 53.75""
Min - Max Height 54.75"" - 102.75""
Backplate/Canopy/Base 7.00""
Shade Material Glass
Number of Lamps 5
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Featuring thick textured panels of handmade Venetian glass with flecks of gold profusely sprinkled throughout, Symphony staggers its glass-ringed lights at different heights for an elegant effect. The Gold-Leaf glaze of its iron body gives off a gilded glow. Bevel-cut rods and an asymmetrical frame exude mid-century vibes while the handcrafted flavor of the whole make it an intriguing delight. Symphony also makes for a striking sconce. ","257-75-1, 257-75-2, 257-75-3, 257-75-4, 257-75-5, 257-75-6",27,27,53.75,Free Shipping
257-12,Corbett Lighting Symphony Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,914,50%,457,"Width/Diameter 6.50""
Height 28.75""
Extension 7.75""
Backplate/Canopy/Base 5.13""W x 8.00""H
Top To Center 15.00""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Featuring thick textured panels of handmade Venetian glass with flecks of gold profusely sprinkled throughout, Symphony staggers its glass-ringed lights at different heights for an elegant effect. The Gold-Leaf glaze of its iron body gives off a gilded glow. Bevel-cut rods and an asymmetrical frame exude mid-century vibes while the handcrafted flavor of the whole make it an intriguing delight. Symphony also makes for a striking sconce. ","257-12-1, 257-12-2",6.5,6.5,28.75,Free Shipping
228-42,Corbett Lighting Serenity Pendant (SM),Corbett Lighting,Lighting > Pendants,2710,,,"Width/Diameter 28.00""
Height 21.50""
Min - Max Height 0.00"" - 70.50""
Backplate/Canopy/Base 6.50""
Shade Material Natural Stone
Number of Lamps 1
Wattage 24w ea.
Socket Type Led
Plug In No","228-42-1, 228-42-2, 228-42-3, 228-42-4, 228-42-5, 228-42-6, 228-42-7, 228-42-8",28,28,21.5,Free Shipping
228-43,Corbett Lighting Serenity Pendant (MD),Corbett Lighting,Lighting > Pendants,3796,,,"Width/Diameter 34.00""
Height 22.50""
Min - Max Height 0.00"" - 71.50""
Backplate/Canopy/Base 8.25""
Shade Material Natural Stone
Number of Lamps 1
Wattage 36w ea.
Socket Type Led
Plug In No","228-43-1, 228-43-2, 228-43-3, 228-43-4, 228-43-5, 228-43-6, 228-43-7, 228-43-8, 228-43-9",34,34,22.5,Free Shipping
228-44,Corbett Lighting Serenity Pendant (LG),Corbett Lighting,Lighting > Pendants,5428,,,"Width/Diameter 40.00""
Height 25.25""
Min - Max Height 0.00"" - 74.25""
Backplate/Canopy/Base 8.25""
Shade Material Natural Stone
Number of Lamps 1
Wattage 36w ea.
Socket Type Led
Plug In No","228-44-1, 228-44-2, 228-44-3, 228-44-4, 228-44-5, 228-44-6, 228-44-7, 228-44-8",40,40,25.25,Free Shipping
213-41,Corbett Lighting Calligraphy Pendant (SM),Corbett Lighting,Lighting > Pendants,1390,,,"Width/Diameter 18.00""
Height 16.50""
Backplate/Canopy/Base 5.50""
Shade Material Glass
Number of Lamps 2
Wattage 4w ea.
Socket Type Led
Plug In No
An airy and sculptural interpretation of the art of exquisite hand lettering, Calligraphy evokes swirling script flowing across the page – as if right from the artist’s instrument. At its core are two powerful LED light engines surrounded by floating bands held in place by thin, curving lines.","213-41-1, 213-41-2, 213-41-3, 213-41-4, 213-41-5, 213-41-6, 213-41-7, 213-41-8",18,18,16.5,Free Shipping
213-42,Corbett Lighting Calligraphy Pendant (MD),Corbett Lighting,Lighting > Pendants,2390,,,"Width/Diameter 26.00""
Height 24.00""
Backplate/Canopy/Base 6.50""
Shade Material Glass
Number of Lamps 2
Wattage 12w ea.
Socket Type Led
Plug In No
An airy and sculptural interpretation of the art of exquisite hand lettering, Calligraphy evokes swirling script flowing across the page – as if right from the artist’s instrument. At its core are two powerful LED light engines surrounded by floating bands held in place by thin, curving lines.","213-42-1, 213-42-2, 213-42-3, 213-42-4, 213-42-5, 213-42-6, 213-42-7, 213-42-8",26,26,24,Free Shipping
213-43,Corbett Lighting Calligraphy Pendant (LG),Corbett Lighting,Lighting > Pendants,2700,,,"Width/Diameter 34.00""
Height 31.25""
Backplate/Canopy/Base 6.50""
Shade Material Glass
Number of Lamps 2
Wattage 12w ea.
Socket Type Led
Plug In No
An airy and sculptural interpretation of the art of exquisite hand lettering, Calligraphy evokes swirling script flowing across the page – as if right from the artist’s instrument. At its core are two powerful LED light engines surrounded by floating bands held in place by thin, curving lines.","213-43-1, 213-43-2, 213-43-3, 213-43-4, 213-43-5, 213-43-6, 213-43-7, 213-43-8, 213-43-9",34,34,31.25,Free Shipping
213-44,Corbett Lighting Calligraphy Pendant (XL),Corbett Lighting,Lighting > Pendants,3500,,,"Width/Diameter 42.00""
Height 38.50""
Backplate/Canopy/Base 7.50""
Shade Material Glass
Number of Lamps 2
Wattage 18w ea.
Socket Type Led
Plug In No
An airy and sculptural interpretation of the art of exquisite hand lettering, Calligraphy evokes swirling script flowing across the page – as if right from the artist’s instrument. At its core are two powerful LED light engines surrounded by floating bands held in place by thin, curving lines.","213-44-1, 213-44-2, 213-44-3, 213-44-4, 213-44-5, 213-44-6, 213-44-7, 213-44-8",42,42,38.5,Free Shipping
207-44,Corbett Lighting Modernist Pendant (SM),Corbett Lighting,Lighting > Pendants,2190,,,"Width/Diameter 20.00""
Height 25.25""
Backplate/Canopy/Base 6.00""
Shade Material Fabric Shade
Number of Lamps 4
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","207-44-1, 207-44-2, 207-44-3",20,20,25.5,Free Shipping
207-46,Corbett Lighting Modernist Pendant (MD),Corbett Lighting,Lighting > Pendants,2750,,,"Width/Diameter 28.00""
Height 35.00""
Backplate/Canopy/Base 6.00""
Shade Material Fabric Shade
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","207-46-1, 207-46-2, 207-46-3",28,28,35,Free Shipping
207-48,Corbett Lighting Modernist Pendant (LG),Corbett Lighting,Lighting > Pendants,3950,,,"Width/Diameter 34.00""
Height 42.75""
Backplate/Canopy/Base 6.00""
Shade Material Fabric Shade
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","207-48-1, 207-48-2, 207-48-3",34,34,42.75,Free Shipping
207-11,Corbett Lighting Modernist Wall Sconce (SM),Corbett Lighting,Lighting > Wall Sconces,650,,,"Width/Diameter 8.75""
Height 18.50""
Extension 3.75""
Backplate/Canopy/Base 4.25""W x 4.25""H
Top To Center 9.25""
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","207-11-1, 207-11-2",8.75,3.75,18.5,Free Shipping
207-12,Corbett Lighting Modernist Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,1026,,,"Width/Diameter 12.00""
Height 30.00""
Extension 4.00""
Backplate/Canopy/Base 6.00""W x 7.00""H
Top To Center 15.00""
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","207-12-1, 207-12-2",12,4,30,Free Shipping
190-11,Corbett Lighting Rockstar Wall Sconce (SM),Corbett Lighting,Lighting > Wall Sconces,784,50%,392,"Width/Diameter 7.00""
Height 15.75""
Extension 5.25""
Backplate/Canopy/Base 4.25""W x 6.25""H
Top To Center 3.25""
Shade Material Natural Agate
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No

ALSO AVAILABLE IN LARGE ($1,390):
190-12
Width/Diameter 12.25""
Height 18.00""
Extension 7.25""
Backplate/Canopy/Base 4.50""W x 10.25""H
Top To Center 8.38""
Shade Material Natural Agate
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
","190-11-1, 190-11-2, 190-11-3, 190-11-4",7,7,15.75,Free Shipping
190-46,Corbett Lighting Rockstar Pendant (SM),Corbett Lighting,Lighting > Pendants,4486,50%,2243,"Width/Diameter 19.25""
Height 29.00""
Backplate/Canopy/Base 6.50""
Shade Material Natural Agate
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-46-1, 190-46-2, 190-46-3, 190-46-4",19.25,19.25,29,Free Shipping
190-410,Corbett Lighting Rockstar Pendant (MD),Corbett Lighting,Lighting > Pendants,6600,50%,3300,"Width/Diameter 24.00""
Height 31.25""
Backplate/Canopy/Base 8.25""
Shade Material Natural Agate
Number of Lamps 10
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-410-1, 190-410-2, 190-410-3, 190-410-4",24,24,31.25,Free Shipping
190-416,Corbett Lighting Rockstar Pendant (LG),Corbett Lighting,Lighting > Pendants,10570,50%,5285,"Width/Diameter 32.75""
Height 47.00""
Backplate/Canopy/Base 8.25""
Shade Material Natural Agate
Number of Lamps 16
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-416-1, 190-416-2, 190-416-3, 190-416-4",32.75,32.75,47,Free Shipping
190-12,Corbett Lighting Rockstar Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,1390,50%,695,"Width/Diameter 12.25""
Height 18.00""
Extension 7.25""
Backplate/Canopy/Base 4.50""W x 10.25""H
Top To Center 8.38""
Shade Material Natural Agate
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-12-1, 190-12-2, 190-12-3, 190-12-4",12.25,7.25,18,Free Shipping
163-11,Corbett Lighting Amadeus Wall Sconce (SM),Corbett Lighting,Lighting > Wall Sconces,550,,,"Width/Diameter 5.00""
Height 16.50""
Extension 4.00""
Backplate/Canopy/Base 5.00""W x 9.00""H
Top To Center 11.36""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-11-1, 163-11-2, 163-11-3",5,5,16.5,Free Shipping
163-12,Corbett Lighting Amadeus Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,990,,,"Width/Diameter 11.00""
Height 21.00""
Extension 6.00""
Backplate/Canopy/Base 4.50""W x 7.00""H
Top To Center 10.81""
Shade Material Glass
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-12-1, 163-12-2, 163-12-3, 163-12-4, 163-12-5, 163-12-6",11,11,21,Free Shipping
163-03,Corbett Lighting Amadeus Chandelier (SM),Corbett Lighting,Lighting > Chandeliers,3730,,,"Width/Diameter 20.00""
Height 30.50""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence.","163-03-1, 163-03-2, 163-03-3, 163-03-4, 163-03-5, 163-03-6",20,20,30.5,Free Shipping
163-06,Corbett Lighting Amadeus Chandelier (MD),Corbett Lighting,Lighting > Chandeliers,6304,,,"Width/Diameter 28.00""
Height 43.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-06-1, 163-06-2, 163-06-3, 163-06-4, 163-06-5, 163-06-6, 163-06-7",28,28,43.5,Free Shipping
163-08,Corbett Lighting Amadeus Chandelier (LG),Corbett Lighting,Lighting > Chandeliers,10990,,,"Width/Diameter 36.50""
Height 53.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-08-1, 163-08-2, 163-08-3, 163-08-4, 163-08-5, 163-08-6",36.5,36.5,53.5,Free Shipping
163-712,Corbett Lighting Amadeus Chandelier (XL),Corbett Lighting,Lighting > Chandeliers,14070,,,"Width/Diameter 46.50""
Height 67.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 12
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-712-1, 163-712-2, 163-712-3, 163-712-4, 163-712-5, 163-712-6",46.5,46.5,67.5,Free Shipping
221-11,Corbett Lighting Cielo Wall Sconce (left),Corbett Lighting,Lighting > Wall Sconces,484,50%,242,"Width/Diameter 12.50""
Height 14.75""
Extension 5.50""
Backplate/Canopy/Base 5.50""
Top To Center 8.75""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Silver Leaf","221-11-1, 221-11-2",12.5,12.5,14.75,Free Shipping
221-12,Corbett Lighting Cielo Wall Sconce (right),Corbett Lighting,Lighting > Wall Sconces,484,50%,242,"Width/Diameter 12.50""
Height 14.75""
Extension 5.50""
Backplate/Canopy/Base 5.50""
Top To Center 8.75""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Silver Leaf","221-12-1, 221-12-2",12.5,12.5,14.75,Free Shipping
150-11,Corbett Lighting Dolcetti Wall Sconce (SM),Corbett Lighting,Lighting > Wall Sconces,826,,,"Width/Diameter 6.00""
Height 18.50""
Extension 3.50""
Backplate/Canopy/Base 4.50""W x 4.50""H
Top To Center 6.50""
Shade Material Shell
Number of Lamps 1
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","150-11-1, 150-11-2",6,6,18.5,Free Shipping
142-13,Corbett Lighting Dolcetti Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,1046,,,"Width/Diameter 10.00""
Height 15.75""
Extension 5.00""
Backplate/Canopy/Base 4.25""W x 15.00""H
Top To Center 7.88""
Shade Material Shell
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-13-1, 142-13-2",10,10,15.75,Free Shipping
142-33,Corbett Lighting Dolcetti Semi-Flush,Corbett Lighting,Lighting > Semi-Flush,2410,,,"Width/Diameter 18.00""
Height 16.75""
Backplate/Canopy/Base 7.25""
Shade Material Shell
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-33-1, 142-33-2",18,18,16.75,Free Shipping
142-47,Corbett Lighting Dolcetti Chandelier (SM),Corbett Lighting,Lighting > Chandeliers,4170,,,"Width/Diameter 18.00""
Height 24.50""
Backplate/Canopy/Base 6.50""
Shade Material Shell
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-47-1, 142-47-2, 142-47-3, 142-47-4",18,18,24.5,Free Shipping
142-413,Corbett Lighting Dolcetti Chandelier (MD),Corbett Lighting,Lighting > Chandeliers,6590,,,"Width/Diameter 24.00""
Height 32.00""
Backplate/Canopy/Base 6.50""
Shade Material Shell
Number of Lamps 13
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-413-1, 142-413-2, 142-413-3, 142-413-4",24,24,32,Free Shipping
142-719,Corbett Lighting Dolcetti Chandelier (LG),Corbett Lighting,Lighting > Chandeliers,13190,,,"Width/Diameter 32.00""
Height 52.00""
Backplate/Canopy/Base 6.50""
Shade Material Shell
Number of Lamps 19
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","142-719-1, 142-719-2, 142-719-3, 142-719-4",32,32,52,Free Shipping
222-48,Corbett Lighting Anello Chandelier (MD),Corbett Lighting,Lighting > Chandeliers,2590,50%,1295,"Width/Diameter 43.00""
Height 4.50""
Backplate/Canopy/Base 6.00""
Shade Material Handmade Italian Glass
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Leaf W Polished

Anello recreates the traditional style Venetian chandelier by taking handcrafted, Venetian glass, worked in detail by Italian artisans, and spotlighting it with a light framework. The result is a ring of leaves that seem to float in the air, finished in straw and clear glass to allow the light to filter through.","222-48-1, 222-48-2, 222-48-3, 222-48-4, 222-48-5",43,43,4.5,Free Shipping
222-11,Corbett Lighting Anello Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,450,50%,225,"Width/Diameter 5.50""
Height 15.00""
Extension 4.50""
Shade Material Handmade Italian Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Leaf W Polished

Anello recreates the traditional style Venetian chandelier by taking handcrafted, Venetian glass, worked in detail by Italian artisans, and spotlighting it with a light framework. The result is a ring of leaves that seem to float in the air, finished in straw and clear glass to allow the light to filter through.","222-11-1, 222-11-2",5.5,5.5,15,Free Shipping
215-12,Corbett Lighting Ambrosia Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces,850,,,"Width/Diameter 10.00""
Height 16.00""
Extension 5.00""
Backplate/Canopy/Base 4.50""W x 12.00""H
Top To Center 6.13""
Shade Material Metal And Crystal
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-12-1, 215-12-2",10,10,16,Free Shipping
215-33,Corbett Lighting Ambrosia Flush Mount,Corbett Lighting,Lighting > Flush Mount,1790,,,"Width/Diameter 18.00""
Height 16.50""
Backplate/Canopy/Base 7.75""
Shade Material Metal And Crystal
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-33-1, 215-33-2",18,18,16.5,Free Shipping
215-45,"Corbett Lighting Ambrosia Pendant 18""",Corbett Lighting,Lighting > Pendants,2790,,,"Width/Diameter 18.00""
Height 30.00""
Backplate/Canopy/Base 6.00""
Shade Material Metal And Crystal
Number of Lamps 5
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-45-1, 215-45-2, 215-45-3, 215-45-4",18,18,30,Free Shipping
215-47,"Corbett Lighting Ambrosia Pendant 24""",Corbett Lighting,Lighting > Pendants,3990,,,"Width/Diameter 24.00""
Height 37.50""
Backplate/Canopy/Base 6.00""
Shade Material Metal And Crystal
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-47-1, 215-47-2, 215-47-3, 215-47-4",24,24,37.5,Free Shipping
215-711,"Corbett Lighting Ambrosia Pendant 32""",Corbett Lighting,Lighting > Pendants,7390,,,"Width/Diameter 32.00""
Height 50.25""
Backplate/Canopy/Base 6.00""
Shade Material Metal And Crystal
Number of Lamps 11
Wattage 60w ea.
Socket Type E12 Candelabra Base
Shown In Gold Silver Leaf & Stainless

Plug In No
Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-711-1, 215-711-2, 215-711-3, 215-711-4",32,32,50.25,Free Shipping
