sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,Shipping
176-13,Corbett Lighting Chimera Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,1750,,,"Width/Diameter 12.25""
Height 17.50""
Extension 6.00""
Backplate/Canopy/Base 4.75""W x 10.75""H
Shade Material Glass
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-13-1, 176-13-2, 176-13-3, 176-13-4, 176-13-5, 176-13-6, 176-13-7, 176-13-8",12.25,12.25,17.5,Free Shipping
176-34,Corbett Lighting Chimera Semi-Flush,Corbett Lighting,Lighting > Semi-Flush,4390,,,"Width/Diameter 18.50""
Height 16.00""
Backplate/Canopy/Base 7.00""
Shade Material Glass
Number of Lamps 4
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-34-1, 176-34-2, 176-34-3, 176-34-4, 176-34-5, 176-34-6, 176-34-7",18.5,18.5,16,Free Shipping
176-43,"Corbett Lighting Chimera Pendant 12.75""",Corbett Lighting,Lighting > Pendants,2970,,,"Width/Diameter 12.75""
Height 18.25""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-43-1, 176-43-2, 176-43-3, 176-43-4, 176-43-5, 176-43-6, 176-43-7",12.75,12.75,18.25,Free Shipping
176-47,"Corbett Lighting Chimera Pendant 18.50""",Corbett Lighting,Lighting > Pendants,4950,,,"Width/Diameter 18.50""
Height 26.75""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-47-1, 176-47-2, 176-47-3, 176-47-4, 176-47-5, 176-47-6",18.5,18.5,26.75,Free Shipping
176-710,"Corbett Lighting Chimera Pendant 25.50""",Corbett Lighting,Lighting > Pendants,7888,,,"Width/Diameter 25.50""
Height 36.50""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 10
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-710-1, 176-710-2, 176-710-3, 176-710-4, 176-710-5, 176-710-6, 176-710-7",25.5,25.5,36.5,Free Shipping
176-718,"Corbett Lighting Chimera Pendant 36.50""",Corbett Lighting,Lighting > Pendants,14290,,,"Width/Diameter 36.50""
Height 56.00""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 18
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-718-1, 176-718-2, 176-718-3, 176-718-4, 176-718-5, 176-718-6, 176-718-7",36.5,36.5,56,Free Shipping
157-11,Corbett Lighting Flirt Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,550,50%,275,"Width/Diameter 7.25""
Height 20.50""
Extension 3.75""
Backplate/Canopy/Base 6.00""W x 5.75""H
Top To Center 5.00""
Shade Material Fabric Shade
Number of Lamps 1
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Silver Leaf Polished Stainless","157-11-1, 157-11-2",7.25,7.25,20.5,Free Shipping
211-12,Corbett Lighting Lily Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,936,,,"Width/Diameter 12.50""
Height 16.00""
Extension 6.50""
Backplate/Canopy/Base 8.00""W x 11.25""H
Top To Center 8.00""
Shade Material Porcelain
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Enchanted Silver Leaf","211-12-1, 211-12-2",12.5,12.5,16,Free Shipping
211-34,Corbett Lighting Lily Flush Mount,Corbett Lighting,Lighting > Flush Mount,1750,,,"Width/Diameter 18.25""
Height 11.25""
Backplate/Canopy/Base 12.00""
Shade Material Porcelain
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Enchanted Silver Leaf","211-34-1, 211-34-2",18.25,18.25,11.25,Free Shipping
211-44,"Corbett Lighting Lily Pendant 18.50""",Corbett Lighting,Lighting > Pendants,2898,,,"Width/Diameter 18.50""
Height 20.00""
Backplate/Canopy/Base 6.50""
Shade Material Porcelain
Number of Lamps 4
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Enchanted Silver Leaf

ALSO AVAILABLE IN:

211-46
26.25""W x 30""H
$4,222.00

211-48
32.25""W x 36""H
$6,340.00","211-44-1, 211-44-2, 211-44-3, 211-44-4",18.5,18.5,20,Free Shipping
211-47,Corbett Lighting Lily Tulip Pendant,Corbett Lighting,Lighting > Pendants,3774,,,"Width/Diameter 26.25""
Height 32.00""
Backplate/Canopy/Base 8.00""
Shade Material Porcelain
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Enchanted Silver Leaf","211-47-1, 211-47-2, 211-47-3, 211-47-4, 211-47-5",26.25,26.25,32,Free Shipping
155-11,Corbett Lighting Muse Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,700,50%,350,"Width/Diameter 7.00""
Height 12.00""
Extension 3.50""
Backplate/Canopy/Base 4.50""W x 9.00""H
Top To Center 6.00""
Shade Material Crystal
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf",155-11-1,7,7,12,Free Shipping
155-56,Corbett Lighting Muse Linear Pendant,Corbett Lighting,Lighting > Pendants,5190,50%,2595,"Width/Diameter 16.25""
Height 30.50""
Shade Material Crystal
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf",155-56-1,16.25,16.25,30.5,Free Shipping
166-12,"Corbett Lighting Harlow Wall Sconce 10.5""",Corbett Lighting,Lighting > Wall Sconces,870,,,"Width/Diameter 10.50""
Height 20.50""
Extension 5.00""
Backplate/Canopy/Base 8.00""W x 4.50""H
Top To Center 3.13""
Shade Material Fabric Shade
Number of Lamps 2
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf",166-12-1,10.5,,20.5,Free Shipping
166-13,"Corbett Lighting Harlow Wall Sconce 5.00""",Corbett Lighting,Lighting > Wall Sconces,1090,,,"Width/Diameter 5.00""
Height 35.00""
Extension 3.50""
Backplate/Canopy/Base 5.00""W x 5.00""H
Top To Center 17.50""
Shade Material Crystal
Number of Lamps 8
Wattage 1w ea.
Socket Type Led
Plug In No
Shown In Tranquility Silver Leaf",166-13-1,5,,35,Free Shipping
166-34,Corbett Lighting Harlow Semi-Flush,Corbett Lighting,Lighting > Semi-Flush,1430,,,"Width/Diameter 20.00""
Height 15.00""
Backplate/Canopy/Base 8.00""
Shade Material Fabric Shade
Number of Lamps 4
Wattage 60w ea.
Socket Type Led
Plug In No
Shown In Tranquility Silver Leaf",166-34-1,20,20,15,Free Shipping
166-46,Corbett Lighting Harlow Pendant,Corbett Lighting,Lighting > Pendants,2970,,,"Width/Diameter 26.00""
Height 35.75""
Min - Max Height 0.00"" - 84.75""
Backplate/Canopy/Base 6.00""
Shade Material Fabric Shade
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Sil Leaf W Polish

ALSO AVAILABLE IN:

166-48
34""W x46.50""H
$3,844.00",166-46-1,26,26,35.75,Free Shipping
102-12,Corbett Lighting Olivia Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,474,50%,237,"Width/Diameter 13.00""
Height 18.00""
Extension 3.75""
Backplate/Canopy/Base 12.25""W x 6.75""H
Top To Center 6.50""
Shade Material Fabric Shade
Number of Lamps 2
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Polished Nickel

ALSO AVAILABLE IN:

201-12
Satin And Polished Brass
","102-12-1, 102-12-2",13,,18,Free Shipping
180-11,Corbett Lighting Party Girl Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,1352,50%,676,"AVAILABLE FINISHES
silver leaf

Width/Diameter 8.00""
Height 23.00""
Extension 5.00""
Backplate/Canopy/Base 5.00""W x 5.25""H
Top To Center 3.00""
Shade Material Crystal
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No",180-11-1,8,,23,Free Shipping
226-11,Corbett Lighting Mystique Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,1090,,,"Shown In Modern Silver Leaf
Width/Diameter 9.75""
Height 15.50""
Extension 5.00""
Backplate/Canopy/Base 5.00""W x 7.00""H
Top To Center 3.00""
Shade Material Crystal
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","226-11-1, 226-11-2",9.75,,15.5,Free Shipping
303-12,Corbett Lighting SIDCUP Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,750,50%,375,"Shown In Vintage Brass Bronze Accents
Width/Diameter 5.00""
Height 19.50""
Extension 6.50""
Backplate/Canopy/Base 4.50""W x 12.00""H
Top To Center 10.00""
Designer Martyn Lawrence Bullard
Number of Lamps 2
Wattage 60w ea.
Socket Type E26 Medium Base
Plug In No","303-12-1, 303-12-2, 303-12-3",15,,19.5,Free Shipping
238-11,Corbett Lighting Theory Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces ,650,,,"Shown In Gold Leaf W Polished Stainless
Width/Diameter 6.75""
Height 17.00""
Extension 4.50""
Shade Material Glass
Number of Lamps 1
Wattage 12w ea.
Socket Type Led
Plug In No","238-11-1, 238-11-2",6.75,,17,Free Shipping
296-12,Corbett Lighting Tropicale Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,650,,,"Giving your space a leafy bohemian vibe with beautiful organic silhouettes and a gilded touch, Tropicale conceals the light source for dramatic effect. Its gold leaf finish provides a glamorous update to the timeless allure of faux bois.

Shown In Gold Leaf 

Width/Diameter 11.50""
Height 26.50""
Extension 7.00""
Backplate/Canopy/Base 7.00""W x 11.50""H
Top To Center 14.50""
Designer Martyn Lawrence Bullard
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","296-12-1, 296-12-2, 296-12-3, 296-12-4, 296-12-5",11.5,,26.5,Free Shipping
235-12,Corbett Lighting Viola Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,1590,,,"Shown In Gold Leaf 
Width/Diameter 7.00""
Height 27.50""
Extension 4.00""
Top To Center 13.75""
Shade Material Venetian Glass
Number of Lamps 1
Wattage 12w ea.
Socket Type Led
Plug In No","235-12-1, 235-12-2",7,,27.5,Free Shipping
223-11,Corbett Lighting Motif Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,458,50%,229,"Shown In Gold Leaf W Polished Stainless

Width/Diameter 9.00""
Height 13.75""
Extension 3.50""
Backplate/Canopy/Base 4.50""W x 10.00""H
Shade Material Venetian Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","223-11-1, 223-11-2",9,,13.75,Free Shipping
243-13,Corbett Lighting Mont Blanc Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces ,1266,,,"Shown In Modern Silver Leaf

Width/Diameter 10.75""
Height 18.75""
Extension 5.75""
Backplate/Canopy/Base 5.25""W x 12.75""H
Top To Center 8.50""
Shade Material Venetian Glass
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No

","243-13-1, 243-13-2",10.75,,18.75,Free Shipping
232-12,Corbett Lighting Merlin Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,622,50%,311,"Shown In Gold Leaf

Width/Diameter 6.75""
Height 51.50""
Extension 5.75""
Backplate/Canopy/Base 4.25""W x 6.50""H
Top To Center 19.88""
Shade Material Venetian Glass
Number of Lamps 1
Wattage 50w ea.
Socket Type G9 Wedgebase Xenon
Plug In No","232-12-1, 232-12-2",6.75,,51.5,Free Shipping
253-12,Corbett Lighting Freeze Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,990,,,"Shown In Gold Leaf W Polished Stainless

Width/Diameter 4.75""
Height 21.38""
Extension 3.50""
Backplate/Canopy/Base 4.75""W x 6.00""H
Top To Center 13.75""
Shade Material Venetian Glass
Number of Lamps 2
Wattage 4w ea.
Socket Type Led
Plug In No","253-12-1, 253-12-2",4.75,,21.38,Free Shipping
167-12,Corbett Lighting Fame & Fortune Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,1700,50%,850,"Shown In Brazilian Silver Leaf

Width/Diameter 8.50""
Height 23.25""
Extension 3.50""
Backplate/Canopy/Base 5.50""W x 5.75""H
Top To Center 9.00""
Shade Material Fabric Shade
Number of Lamps 2
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No",167-12-1,8.5,,23.25,Free Shipping
204-12,Corbett Lighting Chime Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces ,872,,,"Shown In Silver Leaf Polished Stainless

Width/Diameter 7.75""
Height 14.00""
Extension 4.50""
Backplate/Canopy/Base 4.25""W x 10.00""H
Top To Center 7.00""
Shade Material Glass
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","204-12-1, 204-12-2, 204-12-3",7.75,,14,Free Shipping
162-11,Corbett Lighting Bliss Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,550,,,"A frosted glass shade trimmed in a stunning Topaz Leaf finish is accented by a faceted glass medallion and beaded metal tassel. Bliss is a vision of traditional elegance radiating pure opulence.

Shown In Topaz Leaf

Width/Diameter 4.25""
Height 25.00""
Extension 4.75""
Backplate/Canopy/Base 4.25""
Top To Center 8.50""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","162-11-1, 162-11-2",4.25,,25,Free Shipping
154-11,Corbett Lighting Graffiti Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces ,1090,,,"A radical twist in lighting design, Graffiti is undoubtedly the rebel of modern lighting fixtures. Featuring handcrafted iron, silver leaf in a polished stainless finish, and smoke crystal diffusers, this chandelier has attitude to spare.

Shown In Silver Leaf Polished Stainless

Width/Diameter 10.00""
Height 15.50""
Extension 7.00""
Backplate/Canopy/Base 5.00""
Top To Center 12.00""
Shade Material Glass
Number of Lamps 1
Wattage 50w ea.
Socket Type G9 Wedgebase Xenon
Plug In No","154-11-1, 154-11-2",10,,15.5,Free Shipping
218-11,Corbett Lighting Pulse Wall Sconce,Corbett Lighting,Lighting > Wall Sconces ,1650,,,"Shown In Gold Leaf

Width/Diameter 12.00""
Height 18.00""
Extension 8.00""
Backplate/Canopy/Base 6.00""
Top To Center 9.00""
Number of Lamps 1
Wattage 18w ea.
Socket Type Led
Plug In No","218-11-1, 218-11-2",12,,18,Free Shipping
220-717,"Corbett Lighting 36"" Charisma Chandelier",Corbett Lighting,Lighting > Chandeliers,10990,,,"Shown In Gold Leaf W Polished Stainless

Width/Diameter 36.00""
Height 51.25""
Backplate/Canopy/Base 8.50""
Shade Material Crystal
Number of Lamps 17
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","220-717-1, 220-717-2, 220-717-3, 220-717-4",36,36,51.25,Free Shipping
109-512,"Corbett Lighting 20"" Dolce Chandelier ",Corbett Lighting,Lighting > Chandeliers,4146,,,"Shown In Champagne Leaf

Width/Diameter 20.00""
Height 24.00""
Top To Center 3.50""
Shade Material Shell
Number of Lamps 12
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","109-512-1, 109-512-2, 109-512-3, 109-512-4, 109-512-5",42,20,24,Free Shipping
66-06,"Corbett Lighting 29"" Parc Royale Chandelier",Corbett Lighting,Lighting > Chandeliers,2658,,,"Shown In Gold And Silver Leaf

Width/Diameter 29.00""
Height 31.75""
Backplate/Canopy/Base 5.50""
Shade Material Glass
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No",66-06-1,29,29,31.75,Free Shipping
293-012,"Corbett Lighting 46"" Prosecco Chandelier ",Corbett Lighting,Lighting > Chandeliers,4590,,,"Shown In Gold Leaf

Width/Diameter 46.25""
Height 51.00""
Min - Max Height 54.75"" - 124.75""
Backplate/Canopy/Base 8.00""
Shade Material Glass
Number of Lamps 12
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","293-012-1, 293-012-2, 293-012-3, 293-012-4, 293-012-5",46.25,46.25,51,Free Shipping
244-48,"Corbett Lighting 32"" Piemonte Chandelier",Corbett Lighting,Lighting > Chandeliers,3390,,,"Shown In Royal Gold

Width/Diameter 32.00""
Height 26.50""
Backplate/Canopy/Base 8.25""
Shade Material Glass
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","244-48-1, 244-48-2, 244-48-3, 244-48-4, 244-48-5, 244-48-6",32,32,26.5,Free Shipping
303-42,Corbett Lighting SIDCUP Pendant,Corbett Lighting,Lighting > Pendants,790,50%,395,"Shown In Vintage Brass Bronze Accents

Width/Diameter 5.00""
Height 19.50""
Min - Max Height 0.00"" - 70.00""
Backplate/Canopy/Base 5.50""
Designer Martyn Lawrence Bullard
Number of Lamps 1
Wattage 60w ea.
Socket Type E26 Medium Base
Plug In No","303-42-1, 303-42, 303-42-3",5,5,19.5,Free Shipping
238-42,Corbett Lighting Theory Chandelier ,Corbett Lighting,Lighting > Chandeliers,3950,,,"Shown In Gold Leaf W Polished Stainless

Width/Diameter 30.00""
Height 24.50""
Min - Max Height 0.00"" - 73.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 2
Wattage 18w ea.
Socket Type Led
Plug In No","238-42-1, 238-42-2, 238-42-3, 238-42-4",30,30,24.5,Free Shipping
269-71,"Corbett Lighting 36"" Jasmine Pendant",Corbett Lighting,Lighting > Pendants,4390,,,"An elegant branch of metal reaches down, stemming out to support exquisite handcrafted flowers of glass, alternately translucent and frosted. Bulbs hide behind this vine in the sconces and flush mount version, shining through the glass in stunning ways. In its pendant form, this branch is suspended upside-down through a ring, lined with LED illumination along its interior. Old-world artistry and clean-lined modernism combine, in silver or gold leaf finish, for gorgeous contrast.  

Shown In Silver Leaf

*Also availabe in gold leaf: 268-72

Width/Diameter 28.00""
Height 38.50""
Min - Max Height 42.50"" - 160.50""
Backplate/Canopy/Base 9.00""
Shade Material Glass
Number of Lamps 1
Wattage 64w ea.
Socket Type Led
Plug In No","269-71-1, 269-71-2, 269-71-3, 269-71-4, 269-71-5, 269-71-6, 269-71-7, 269-71-8, 269-71-9",28,28,38.5,Free Shipping
268-72,"Corbett Lighting 36"" Jasmine Pendant",Corbett Lighting,Lighting > Pendants,5190,,,"An elegant branch of metal reaches down, stemming out to support exquisite handcrafted flowers of glass, alternately translucent and frosted. Bulbs hide behind this vine in the sconces and flush mount version, shining through the glass in stunning ways. In its pendant form, this branch is suspended upside-down through a ring, lined with LED illumination along its interior. Old-world artistry and clean-lined modernism combine, in silver or gold leaf finish, for gorgeous contrast.  

Shown In Gold Leaf

*Also availabe in silver leaf: 269-71

Width/Diameter 36.00""
Height 50.00""
Min - Max Height 54.00"" - 172.00""
Backplate/Canopy/Base 10.25""
Shade Material Glass
Number of Lamps 1
Wattage 82w ea.
Socket Type Led
Plug In No","268-72-1, 268-72-2, 268-72-3, 268-72-4, 268-72-5, 268-72-6, 268-72-7",36,36,50,Free Shipping
271-012,"Corbett Lighting Hopper Chandelier 41""",Corbett Lighting,Lighting > Chandeliers,5050,,,"When Martyn Lawrence Bullard moved into a '20s villa in the Hollywood Hills lived in by actor Dennis Hopper in the '60s, inspiration took hold. Named after the actor, artist, and art collector, this piece has a beautiful synergy between the two sides of its brass leaves. The side supporting the white glass diffusers like peas in a pod has a handsome, dark vintage brass finish, while the reverse has been soaked until a beautiful, smooth natural black. Striking and minimal, with evocations of both mid-century modernism and nature, Hopper is powerful and unique, like its namesake.  

Shown In Vintage Brass Bronze Accents

Width/Diameter 41.00""
Height 25.00""
Min - Max Height 27.50"" - 98.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Shade Color Opal White
Designer Martyn Lawrence Bullard
Number of Lamps 12
Wattage 20w ea.
Socket Type G9 Wedgebase Xenon
Plug In No","271-012-1, 271-012-2, 271-012-3, 271-012-4, 271-012-5",41,41,25,Free Shipping
271-09,"Corbett Lighting Hopper Chandelier 32""",Corbett Lighting,Lighting > Chandeliers,3730,,,"When Martyn Lawrence Bullard moved into a '20s villa in the Hollywood Hills lived in by actor Dennis Hopper in the '60s, inspiration took hold. Named after the actor, artist, and art collector, this piece has a beautiful synergy between the two sides of its brass leaves. The side supporting the white glass diffusers like peas in a pod has a handsome, dark vintage brass finish, while the reverse has been soaked until a beautiful, smooth natural black. Striking and minimal, with evocations of both mid-century modernism and nature, Hopper is powerful and unique, like its namesake. 

Shown In Vintage Brass Bronze Accents

Width/Diameter 32.00""
Height 25.00""
Min - Max Height 27.50"" - 98.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Shade Color Opal White
Designer Martyn Lawrence Bullard
Number of Lamps 9
Wattage 20w ea.
Socket Type G9 Wedgebase Xenon
Plug In No","271-09-1, 271-09-2, 271-09-3, 271-09-4, 271-09-5, 271-09-6, 271-09-7, 271-09-8, 271-09-9",32,32,25,Free Shipping
271-11,Corbett Lighting Hopper Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,430,,,"When Martyn Lawrence Bullard moved into a '20s villa in the Hollywood Hills lived in by actor Dennis Hopper in the '60s, inspiration took hold. Named after the actor, artist, and art collector, this piece has a beautiful synergy between the two sides of its brass leaves. The side supporting the white glass diffusers like peas in a pod has a handsome, dark vintage brass finish, while the reverse has been soaked until a beautiful, smooth natural black. Striking and minimal, with evocations of both mid-century modernism and nature, Hopper is powerful and unique, like its namesake. 

Shown In Vintage Brass Bronze Accents

Width/Diameter 4.75""
Height 10.00""
Extension 3.50""
Backplate/Canopy/Base 4.50""W x 5.50""H
Top To Center 5.00""
Shade Material Glass
Shade Color Opal White
Designer Martyn Lawrence Bullard
Number of Lamps 1
Wattage 20w ea.
Socket Type G9 Wedgebase Xenon
Plug In No","271-11-1, 271-11-2",4.75,3.5,10,Free Shipping
271-13,Corbett Lighting Hopper Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,826,,,"When Martyn Lawrence Bullard moved into a '20s villa in the Hollywood Hills lived in by actor Dennis Hopper in the '60s, inspiration took hold. Named after the actor, artist, and art collector, this piece has a beautiful synergy between the two sides of its brass leaves. The side supporting the white glass diffusers like peas in a pod has a handsome, dark vintage brass finish, while the reverse has been soaked until a beautiful, smooth natural black. Striking and minimal, with evocations of both mid-century modernism and nature, Hopper is powerful and unique, like its namesake. 

Shown In Vintage Brass Bronze Accents

Width/Diameter 4.75""
Height 24.00""
Extension 4.00""
Backplate/Canopy/Base 4.50""W x 18.00""H
Top To Center 12.00""
Shade Material Glass
Shade Color Opal White
Designer Martyn Lawrence Bullard
Number of Lamps 3
Wattage 20w ea.
Socket Type G9 Wedgebase Xenon
Plug In No","271-13-1, 271-13-2, 271-13-3, 271-13-4, 271-13-5, 271-13-6, 271-13-7, 271-13-8",4.75,4,24,Free Shipping
243-725,"Corbett Lighting Mont Blanc Chandelier 44.50""",Corbett Lighting,Lighting > Chandeliers,17590,,,"Shown In Modern Silver Leaf

Width/Diameter 44.50""
Height 67.50""
Min - Max Height - 163.25""
Backplate/Canopy/Base 10.00""
Number of Lamps 25
Wattage 25w ea.
Socket Type E12 Candelabra Base
Plug In No","243-725-1, 243-725-2",44.5,44.5,67.5,Free Shipping
243-12,Corbett Lighting Mont Blanc Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces ,638,,,"Shown In Modern Silver Leaf
*Fixture may only be installed as shown in picture

Width/Diameter 8.00""
Height 16.50""
Extension 4.50""
Backplate/Canopy/Base 4.50""W x 11.50""H
Top To Center 6.00""
Shade Material Venetian Glass
Shade Color Hand-Crafted Clear Venetian
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","243-12-1, 243-12-2",8,4.5,16.5,Free Shipping
243-35,Corbett Lighting Mont Blanc Semi Flush,Corbett Lighting,Lighting > Semi-Flush,2530,,,"Shown In Modern Silver Leaf

Width/Diameter 18.25""
Height 17.25""
Backplate/Canopy/Base 12.00""
Shade Material Venetian Glass
Shade Color Hand-Crafted Clear Venetian
Number of Lamps 5
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","243-35-1, 243-35-2",18.25,18.25,17.25,Free Shipping
243-413,"Corbett Lighting Mont Blanc Chandelier 36""",Corbett Lighting,Lighting > Chandeliers,10670,,,"Shown In Modern Silver Leaf

Width/Diameter 36.00""
Height 66.25""
Backplate/Canopy/Base 8.25""
Shade Material Venetian Glass
Shade Color Hand-Crafted Clear Venetian
Number of Lamps 13
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
","243-413-1, 243-413-2, 243-413-3, 243-413-4, 243-413-5",36,36,66.25,Free Shipping
243-47,"Corbett Lighting Mont Blanc 18.25""",Corbett Lighting,Lighting > Chandeliers,3548,,,"Shown In Modern Silver Leaf

Width/Diameter 18.25""
Height 34.00""
Backplate/Canopy/Base 6.50""
Shade Material Venetian Glass
Shade Color Hand-Crafted Clear Venetian
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","243-47-1, 243-47-2, 243-47-3, 243-47-4",18.25,18.25,34,Free Shipping
243-49,"Corbett Lighting Mont Blanc Chandelier 25""",Corbett Lighting,Lighting > Chandeliers,5720,,,"Shown In Modern Silver Leaf

Width/Diameter 25.00""
Height 43.00""
Backplate/Canopy/Base 8.25""
Shade Material Venetian Glass
Shade Color Hand-Crafted Clear Venetian
Number of Lamps 9
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","243-49-1, 243-49-2, 243-49-3, 243-49-4",25,25,43,Free Shipping