sku,Name,Brand,Categories,Regular Price,Description,Images,Length,Width,Height,Shipping
101597,Akis Black Coffee Table,Xcella ,Tables > Cocktail Tables,1395,"This article is of a unique and complex craft work consisting of pouring metal (aluminium) into the hollow cavity of a trunk of a solid wood acacia.

MODEL NO:
XC-4255XLB

Dimensions: 
32 X 35 X 20 inches","101597-1, 101597-2, 101597-3, 101597-4",32,35,20,Free Shipping
101595,Akis Black Side Table,Xcella ,Tables > End Tables,582,"This article is of a unique and complex craft work consisting of pouring metal (aluminium) into the hollow cavity of a trunk of a solid wood acacia.

MODEL NO:
XC-4255 B B

Dimensions: 
21 X 21 X 22 inches","101595-1, 101595-2",21,21,22,Free Shipping
100116,Krista Coffee Table: Condo Size,Xcella ,Tables > Cocktail Tables,621,"Chic modern glass coffee table with a lower glass shelf.
The polished stainless steel table base with tempered glass top provides a clean, distinguished and refined addition to your home decor.
Smaller size Coffee Table.

MODEL NO:
GY-CT-004B/A

DIMENSIONS:
19.6 x 41.3 x 15.7 in

MATERIAL:
Glass / Steel

FRAME:
Polished Stainless Steel","100116-1, 100116-2, 100116-3",41.3,19.6,15.7,Free Shipping
101724,Multi-Level Silver Coffee Table,Xcella ,Tables > Cocktail Tables,1407,"Tempered glass top
Polished stainless steel frame

MODEL NO:
GY-CT-8166

Dimensions:
W39.4 x D39.4 x H20.1 inches","101724-1, 101724-2, 101724-3, 101724-4, 101724-5",39.4,39.4,20.1,Free Shipping
101727,"Multi-Level Gold Coffee Table
",Xcella ,Tables > Cocktail Tables,1521,"Tempered glass top
Brushed gold steel frame

MODEL NO:
GY-CT-8166BG

Dimensions:
W39.4 x D39.4 x H20.1 inches","101727-1, 101727-2, 101727-3, 101727-4, 101727-5, 101727-6",39.4,39.4,20.1,Free Shipping
101499,Wellington Silver Coffee Table,Xcella ,Tables > Cocktail Tables,1179,"Tempered Glass with Polished Steel Frame

MODEL NO:
GY-CT-7982

Dimensions:
35.4 x 35.4 x 16 inches","101499-1, 101499-2",35.4,35.4,16,Free Shipping
101867,Alex Console Table,Xcella ,Tables > Console Tables,1707,"Tempered glass top
Polished steel frame

MODEL NO:
GY-CST-T960

Dimensions:
55.1 x 15.7 x 29.5 inches",101867-1,55.4,15.7,29.5,Free Shipping
100113,Krista Console Table,Xcella ,Tables > Console Tables,696,"Chic modern glass console table with a lower glass shelf.
The polished stainless steel table base with tempered glass top provides a clean, distinguished and refined addition to your home decor.
Full size Console Table.

MODEL NO:
GY-CST-004B

Dimensions:
47.3 x 13.7 x 31.1 inches

MATERIAL:
Glass / Steel

FRAME:
Polished Stainless Steel","100113-1, 100113-2, 100113-3",47.3,13.7,31.1,Free Shipping
101522,Luigi Media Stand,Xcella ,Entertainment,1494,"Natural Finish Mango Wood Media Stand with Brass Finish Handles and Base
Also Available in Olive Grey Finish

MODEL NO:
XC-53730

Dimensions:
57.8 x 16.9 x 19.7 inches","101522-1, 101522-2, 101522-3, 101522-4, 101522-5",57.8,16.9,19.7,Free Shipping
101714,Boston Chair,Xcella ,Seating > Occasional Chairs,2280,"Ivory color fabric seat
Matte gold stainless steel base

MODEL NO:
GY-070

Dimensions:
35.4 x D30.3 x H31.5 inches","101714-1, 101714-2, 101714-3, 101714-4, 101714-5",35.4,30.3,31.5,Free Shipping
101713,Boston Sofa,Xcella,Seating > Sofas,5835,"Ivory color fabric seat with five throw pillows
Matte gold stainless steel base

MODEL NO:
GY-026

Dimensions:
98.4 x 44.9 x 32.7 inches","101713-1, 101713-2, 101713-3, 101713-4, 101713-5, 101713-6",98.4,44.9,32.7,Free Shipping
101193,Fairmont Chair: Silver Satin,Xcella ,Seating > Occasional Chairs,939,"Silver satin upholstered chair
Polished stainless steel frame and base

MODEL NO:
GY-AC-805

Dimensions:
26 x 30 x 31.5 inches","101193-1, 101193-2",26,30,31.5,Free Shipping
102334,Fairmont Black Leatherette Chair - Black Frame,Xcella ,Seating > Occasional Chairs,948,"Black faux leather upholstered chair
Black metal steel frame and base

MODEL NO:
GY-AC-8056BK

Dimensions:
26 x 30 x 31.5 inches","102334-1, 102334-2, 102334-3, 102334-4, 102334-5, 102334-6, 102334-7",26,30,31.5,Free Shipping
101194,Fairmont Chair: White Leatherette,Xcella ,Seating > Occasional Chairs,945,"White faux leather upholstered chair
Polished stainless steel frame and base

Dimensions:
26 x 30 x 31.5 inches","101194-1, 101194-2, 101194-3",26,30,31.5,Free Shipping
101497,Morgan Grey Velvet Chair,Xcella ,Seating > Occasional Chairs,1473,"Upholstered Chair
Criss Cross Polished Steel Legs

MODEL NO:
GY-AC-8112 Grey Velvet

Dimensions:
33.5 x 33.8 x 32.1 inches","101497-1, 101497-2, 101497-3, 101497-4",33.5,33.8,32.1,Free Shipping
100018,Pinnacle Grey Sheen Velvet Chair,Xcella ,Seating > Occasional Chairs,2139,"Deep front tufting chair
Stainless steel frame and base

MODEL NO:
GY-15016/C

Dimensions:
34.3 x 33.5 x 32.3 inches

COLOUR:
Grey

MATERIAL:
Sheen Velvet

FRAME:
Stainless Steel","100018-1, 100018-2, 100018-3, 100018-4",34.3,33.5,32.3,Free Shipping
101866,Alex Dining Table,Xcella ,Tables > Dining Tables,3042,"Tempered glass top
Polished steel frame

MODEL NO:
GY-DT-T960

Dimensions:
87 X 34 X 30 inches","101866-1, 101866-2",87,34,30,Free Shipping
102128,Laguna Dining Table,Xcella ,Tables > Dining Tables,2070,"Glass Table Top
Stainless Steel Base

MODEL NO:
GY-DT-8393

Dimensions:
200 x 100 x 75 cms",102128-1,,,,Free Shipping
102209,Laguna Desk,Xcella ,Desks,1122,"Glass Table Top
Stainless Steel Base

MODEL NO:
GY-DE-8393

Dimensions:
47.2 x 21.7 x 29.9 inches","102209-1, 102209-2, 102209-3, 102209-4, 102209-5, 102209-6, 102209-7",47.2,21.7,29.9,Free Shipping
102179,Mario Dining Table,Xcella ,Tables > Dining Tables,2118,"Tempered glass top with stainless steel frame

MODEL NO:
GY-MARIO

Dimensions:
55 x 55 x 30 inches","102179-1, 102179-2, 102179-3, 102179-4, 102179-5",55,55,30,Free Shipping
102236,Mario Dining Table - Gold,Xcella ,Tables > Dining Tables,1929,"Tempered glass top with gold color stainless steel frame

MODEL NO:
GY-MARIO-G

Dimensions:
55 x 55 x 30 inches","102236-1, 102236-2, 102236-3, 102236-4, 102236-5",55,55,30,Free Shipping
102388,Mario Dining Table - Black,Xcella ,Tables > Dining Tables,1929,"Tempered glass top with black metal frame

MODEL NO:
GY-MARIO-Bk

Dimensions:
55 x 55 x 30 inches","102388-1, 102388-2, 102388-3, 102388-4, 102388-5",55,55,30,Free Shipping
101001,Monte Carlo Dining Table,Xcella ,Tables > Dining Tables,1710,"Tempered Glass Top
Polished Stainless Steel Frame

MODEL NO:
GY-DT-7952

Dimensions:
55 x 55 x 30 inches","101001-1, 101001-2",55,55,30,Free Shipping
102019,Hamilton Premium Grey Velvet Bed,Xcella ,Beds,2790,"Upholstered grey velvet bed with steel frame

MODEL NO:
GY-BED-8229

Dimensions:

Queen (102019) - 65 x 88.5 x 63 in
King (102020) - 82.7 x 88.5 x 63 in","102019-1, 102019-2, 102019-3",65,88.5,63,Free Shipping
102242,Hanne Bed - White Leatherette,Xcella ,Beds,2718,"White leatherette upholstered bed
Polished steel frame

MODEL NO:
GY-8227

King size: W210 x D225 x H140 cm
82.7 x 88.6 x 55.1 in

Queen size: W165 x D225 x H140 cm
65 x 88.6 x 55.1 in","102242-1, 102242-2, 102242-3, 102242-4",65,88.6,55.1,Free Shipping
100276,Kroma Beige Fabric Queen Bed,Xcella ,Beds,2319,"Upholstered button tufted bed with polished stainless steel frame

MODEL NO:
GY-0218 Queen Bed Beige Kroma

SKU:

FRAME:
Chrome

MATERIAL:
Fabric

COLOUR:
Beige

Queen Size: L87.6 x W65 x HB51.2/FB16.7 in

King Size (100245): L87.6 x W82.7 x HB55.1/FB16.7 in","100276-1, 100276-2, 100276-3",87.6,65,51.2,Free Shipping
100277,Kroma Grey Fabric Queen Bed,Xcella ,Beds,2319,"Polished stainless steel frame and accents provides a chic accent.
The bed has grey inset tufted upholstery panel.
Prepare to relax in glamorous style.
This bed will deliver sophistication, elegance, and comfort every single night.

MODEL NO:
GY-0218

FRAME:
Chrome

MATERIAL:
Fabric

COLOUR:
Grey

Queen: L87.6 x W65 x HB51.2/FB16.7 in

King (100246): L87.6 x W82.7 x HB55.1/FB16.7 in","100277-1, 100277-2, 100277-3",87.6,65,51.2,Free Shipping
100771,Kroma Grey Velvet Queen Bed,Xcella ,Beds,2355,"Upholstered button tufted bed with polished stainless steel frame

MODEL NO:
GY-0218 Queen Bed Grey Velvet Kroma
SKU:

COLOUR:
Grey

MATERIAL:
Velvet

FRAME:
Chrome

Queen Size: L87.6 x W65 x HB51.2/FB16.7 in

King Size (100770): L87.6 x W82.7 x HB55.1/FB16.7 in","100771-1, 100771-2, 100771-3, 100771-4",87.6,65,512,Free Shipping
100279,Kroma White Leatherette Queen Bed,Xcella ,Beds,2355,"Upholstered button tufted bed with polished stainless steel frame

MODEL NO:
GY-0218 Queen Bed White Leatherette KROMA

FRAME:
Chrome

MATERIAL:
Leatherette

COLOUR:
White

Queen Size: L87.6 x W65 x HB51.2/FB16.7 in

King Size (100248): L87.6 x W82.7 x HB55.1/FB16.7 in","100279-1, 100279-2, 100279-3",87.6,65,51.2,Free Shipping
100836,Barcelona Grey Velvet Sofa,Xcella ,Seating > Sofas,3867,"Deep Button Tufting, Double Nail Chrome Stud Trim & Polished Stainless Steel Legs

MODEL NO:
GY-1455-3 Grey Velvet

Dimensions:
89 x 34.3 x 30.1 inches","100836-1, 100836-2, 100836-3",89,34.3,30.1,Free Shipping
100271,Swire Bed - Grey velvet,Xcella,Beds,3060,"Upholstered Button Tufting Bed
Single Chrome Nail Details and Solid Wood Frame

MODEL NO:
GY-FJ0429 Grey velvet

SKU:
100271/100306

SIZE:
Queen Size (100271):  W65.4 x L87 x HB55.1/FB24.2 inches

King Size (100306): W82.7 x L87.6 x HB55.1/FB16.7 inches","100271-1, 100271-2",65.4,87,55.1,Free Shipping
100272,Swire Bed - Slate linen fabric,Xcella,Beds,3060,"Upholstered Button Tufting Bed
Single Chrome Nail Details and Solid Wood Frame

MODEL NO:
GY-FJ0429 Slate

SKU:
100272/ 100307

SIZE:
Queen Size (100272):  W65.4 x L87 x HB55.1/FB24.2 inches

King Size (100307): W82.7 x L87.6 x HB55.1/FB16.7 inches","100272-1, 100272-2, 100272-3",65.4,87,55.1,Free Shipping
100270,Swire Bed - Beige linen fabric,Xcella,Beds,3060,"Upholstered Button Tufting Bed
Single Chrome Nail Details and Solid Wood Frame

MODEL NO:
GY-FJ0429

SKU:
100270/100305

SIZE:
Queen Size (100270):  W65.4 x L87 x HB55.1/FB24.2 inches

King Size (100305): W82.7 x L87.6 x HB55.1/FB16.7 inches","100270-1, 100270-2, 100270-3",65.4,87,55.1,Free Shipping
101596,Akis Natural Wood Side Table,Xcella,Tables > End Tables,555,"This article is of a unique and complex craft work consisting of pouring metal (aluminium) into the hollow cavity of a trunk of a solid wood acacia.

Model: XC-4255B

Dimensions: 53 X 53 X 56 cm / 21 X 21 X 22 inches

Material: Natural Wood w/ Aluminum fill","101596-1, 101596-2, 101596-3",21,21,22,Free Shipping
101598,Akis Natural Wood Coffee Table,Xcella,Tables > Cocktail Tables,1395,"This article is of a unique and complex craft work consisting of pouring metal (aluminium) into the hollow cavity of a trunk of a solid wood acacia.

Model: XC-4255XL

Dimensions: 82 X 90 X 51 cm 32 X 35 X 20 inches

Material: Natural Wood w/ Aluminum fill",101598-1,32,35,20,Free Shipping
101725,Multi-Level Polished Stainless Steel End Table,Xcella,Tables > End Tables,597,"Polished stainless steel end table

Model: GY-ET-8166

Dimensions: 60 x 40 x 60 cm / 23.6 x 15.7 x 23.6 inches","101725-1, 101725-2, 101725-3, 101725-4",23.6,15.7,23.6,Free Shipping
101728,Multi-Level Brushed Gold End Table,Xcella,Tables > End Tables,684,"Brushed gold end table

Model: GY-ET-8166BG

Dimensions: 60 x 40 x 60 cm / 23.6 x 15.7 x 23.6 inches

",101728-1,23.6,15.7,23.6,Free Shipping
101748,Carole Black Coffee Table,Xcella,Tables > Cocktail Tables,336,"Matte black powder coated

Dimensions: 120 x 60 x 40 cm / 47 x 23.6 x 15.7 inches",101748-1,47,23.6,15.7,Free Shipping
101749,Carole Black Console Table,Xcella,Tables > Console Tables,306,"Matt black powder coated

Model: GY-CST-8179

Dimensions: 115 x 30 x 78 cm / 45.3 x 11.8 x 30.7 inches
","101749-1, 101749-2",45.3,11.8,30.7,Free Shipping
102360,Kyros Coffee Table ,Xcella,Tables > Cocktail Tables,957,"Black marble top 

Dimensions: 95 x 95 x 40 CM  /  37.4 x 37.4 x 15.7 inches","102360-1, 102360-2, 102360-3, 102360-4, 102360-5",37.4,37.4,15.7,Free Shipping
102377,Half Round Gold Console Table,Xcella,Tables > Console Tables,1296,Dimensions: 110 x 28 x 80 CM  /  43.3 x 11 x 31.5 inches,"102377-1, 102377-2, 102377-3, 102377-4, 102377-5",43.3,11,31.5,Free Shipping
102379,Half Round Black Console Table,Xcella,Tables > Console Tables,1296,Dimensions: 110 x 28 x 80 CM  /  43.3 x 11 x 31.5 inches,"102379-1, 102379-2, 102379-3, 102379-4, 102379-5",43.3,11,31.5,Free Shipping